5233.00,0.16161,0.28730,-8.65384,8.66012,0.00019,0.00045,-0.00001
5243.00,0.15562,0.28730,-8.65983,8.66599,0.00072,0.00045,-0.00001
5253.00,0.16161,0.29090,-8.65265,8.65904,-0.00035,-0.00008,-0.00001
5263.00,0.16041,0.29928,-8.68018,8.68682,-0.00035,0.00045,0.00053
5273.00,0.15562,0.31364,-8.68856,8.69561,-0.00035,-0.00008,0.00053
5283.00,0.15203,0.31125,-8.68018,8.68709,0.00019,-0.00008,0.00053
5293.00,0.14485,0.28730,-8.65504,8.66102,0.00019,0.00045,-0.00001
5303.00,0.15562,0.30287,-8.65265,8.65934,-0.00088,-0.00008,-0.00001
5313.00,0.15921,0.31005,-8.65983,8.66684,-0.00088,0.00098,-0.00001
5323.00,0.16281,0.32002,-8.67818,8.68561,-0.00052,0.00098,-0.00072
5332.00,0.15443,0.30406,-8.66222,8.66893,0.00072,0.00045,-0.00001
5343.00,0.16041,0.31603,-8.64786,8.65512,0.00072,-0.00008,0.00053
5353.00,0.15443,0.30765,-8.66701,8.67384,0.00019,-0.00008,0.00106
5363.00,0.15802,0.29209,-8.66462,8.67098,-0.00035,0.00098,0.00106
5373.00,0.15682,0.30406,-8.65265,8.65941,-0.00035,0.00045,0.00053
5383.00,0.15323,0.30765,-8.66821,8.67502,-0.00035,0.00045,-0.00001
5393.00,0.16161,0.30885,-8.65863,8.66564,-0.00035,-0.00008,-0.00054
5403.00,0.16999,0.29688,-8.65025,8.65701,-0.00035,0.00045,0.00053
5413.00,0.16400,0.30765,-8.64905,8.65608,0.00019,0.00045,-0.00001
5423.00,0.15083,0.28371,-8.64546,8.65143,0.00072,0.00098,-0.00001
5433.00,0.15682,0.29449,-8.64905,8.65549,0.00019,0.00045,0.00053
5443.00,0.15562,0.28730,-8.64786,8.65403,-0.00088,-0.00062,-0.00001
5448.00,0.16999,0.32561,-8.63828,8.64609,-0.00194,-0.00008,-0.00001
5458.00,0.16281,0.31723,-8.66462,8.67195,0.00019,-0.00008,0.00106
5468.00,0.15562,0.30167,-8.65624,8.66289,0.00019,-0.00062,0.00106
5478.00,0.14964,0.29329,-8.64427,8.65053,0.00019,-0.00062,-0.00001
5488.00,0.17119,0.30287,-8.65025,8.65724,-0.00088,-0.00062,0.00053
5498.00,0.16759,0.31005,-8.65743,8.66461,-0.00035,-0.00008,0.00053
5508.00,0.16041,0.31244,-8.66462,8.67173,0.00019,-0.00008,0.00053
5518.00,0.14964,0.30287,-8.64067,8.64727,0.00019,0.00045,-0.00001
